food_id,food_name,serving_basis,serving_size_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sugar_g,calcium_mg,iron_mg,zinc_mg,magnesium_mg,potassium_mg,sodium_mg,vitamin_c_mg,vitamin_a_mg,vitamin_d_mg,vitamin_b12_mg,folate_mg
SL0299,Methi malai paneer,100g,100,194.98,7.34,14.76,8.15,1.47,6.0,183.96,0.77,1.169072698,79.53635247,264.3216861,221.16,13.6,1.052541193,2.459002837,3.114046216,73.86
SL0300,Chilli paneer,100g,100,777.51,2.1,84.01,3.31,0.5,1.5,42.9,0.36,0.909008933,22.69546529,390.1575791,89.04,4.87,275.7865515,0.93062438,4.8,28.7
SL0301,Paneer makhana korma,100g,100,775.82,3.24,82.76,4.63,0.21,1.84,72.89,0.55,1.663647107,153.011082,510.3748541,77.01,0.64,192.6197878,2.739683761,2.267804595,94.26
SL0302,Kadhai Paneer,100g,100,107.99,4.33,6.81,7.34,2.07,5.54,91.53,0.65,2.316918813,10.71946852,307.4952039,144.33,85.83,792.9054303,5.855613723,2.669272272,117.12
SL0303,Roghan josh,100g,100,139.59,9.56,9.02,4.93,2.08,2.66,112.33,1.77,4.9,61.72605756,589.8,204.31,12.41,228.682595,1.621426891,3.222640749,36.34
SL0304,Spinach mutton (Palak mutton),100g,100,80.32,5.74,4.71,3.45,2.23,1.42,96.88,2.38,4.03974166,115.8091511,484.7359475,121.1,88.11,290.8982234,9.9,0.0,391.34
SL0305,Pea keema curry (Matar keema ki sabzi),100g,100,133.0,8.43,8.14,6.24,2.96,1.82,35.6,1.35,1.458001005,140.1898382,304.6473692,148.38,55.62,150.1913592,8.295643866,1.06588491,85.14
SL0306,Keema kofta curry,100g,100,154.45,9.77,10.39,5.64,1.51,2.14,49.89,1.25,4.285512234,122.0982652,23.0,311.51,2.43,228.4430583,0.582556434,0.0,6.6
SL0307,Kashmiri mutton koftas (Gushtaba),100g,100,97.42,6.33,6.77,3.04,0.62,2.13,52.53,0.85,1.369511488,139.238268,275.5681039,130.11,3.22,707.6001075,3.400056018,4.463041985,22.46
SL0308,Mutton yakhni,100g,100,104.13,8.27,7.7,0.84,0.67,0.13,88.61,1.66,2.072838483,138.6332041,471.1241353,101.02,0.09,441.7235128,4.060607296,3.422551554,6.51
SL0309,Chicken yakhni,100g,100,99.0,10.66,6.1,0.78,0.62,0.12,28.24,0.93,2.663039079,105.1927299,383.0237466,97.38,0.09,106.2986132,0.782136092,1.657277223,13.24
SL0310,Mutton do piaza,100g,100,183.3,9.39,14.41,4.14,1.93,2.9,118.61,1.63,3.668940593,119.6971746,321.8192312,118.62,7.42,616.666593,6.010817012,1.871175911,67.3
SL0311,Mutton chops,100g,100,663.64,4.03,71.31,1.48,0.17,0.42,36.18,0.64,2.559436867,109.3945222,235.1123325,51.03,3.75,198.1581762,5.213105593,3.097961313,16.68
SL0312,Shammi kebab,100g,100,685.69,4.52,72.61,3.54,1.05,0.31,13.11,0.75,1.413967525,51.33919501,589.8,54.27,1.64,736.3358682,4.727031038,0.0,20.55
SL0313,Scotch egg,100g,100,676.89,4.05,72.62,1.91,0.36,0.3,15.03,0.6,3.096036034,68.98753521,514.6193924,90.67,2.59,253.6128516,6.623689045,0.792478097,30.63
SL0314,Shepherd's pie (with minced meat),100g,100,142.78,7.45,8.88,8.06,1.05,1.7,21.3,0.84,2.44493103,50.46611683,371.5826867,197.25,19.35,490.8456368,8.980913648,0.587196188,21.04
SL0315,Chicken curry,100g,100,129.22,11.79,7.57,3.38,1.41,1.79,27.29,0.87,2.3373655,25.66160893,581.5385834,108.0,16.79,895.7,3.263624173,1.33443547,38.7
SL0316,Tandoori chicken,100g,100,145.2,16.26,7.93,2.34,0.5,1.58,44.33,0.9,4.115310629,97.01390372,345.8543721,158.0,39.53,42.80748724,9.9,3.838728442,182.73
SL0317,Butter chicken,100g,100,137.0,10.92,8.7,3.74,1.32,2.37,25.28,0.92,1.20111309,40.86669162,197.9909892,26.21,32.65,151.5397323,3.838700254,2.922791641,40.85
SL0318,Chicken kebab,100g,100,729.41,3.71,78.89,1.11,0.21,0.24,3.46,0.28,3.129398674,5.5,365.6400917,69.76,0.41,479.3601866,7.018406602,1.308189938,3.83
SL0319,Chilli chicken,100g,100,198.83,9.57,16.56,2.86,0.99,0.93,12.97,0.66,2.475050851,101.7003434,264.1798713,223.75,55.19,843.2095003,6.488872227,2.023587985,51.55
SL0320,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),100g,100,125.03,11.48,7.61,2.51,1.13,1.16,16.09,0.64,2.64104848,5.5,384.9826868,107.56,10.78,11.96938639,7.993914004,0.785567288,17.41
SL0321,Fish curry (Machli curry),100g,100,111.13,8.76,6.69,3.77,1.89,2.02,52.06,1.09,1.144418718,87.20515528,243.4348105,184.71,22.48,510.0545783,2.377539484,1.182167269,40.45
SL0322,Fried fish (Indian style) (Tali hui machli),100g,100,658.54,4.35,68.88,5.4,0.61,0.4,11.11,0.56,2.293815878,165.1664859,115.7315561,156.94,7.22,460.8199323,2.051361709,3.614738201,35.19
SL0323,Fried fish and Chips (English Style) (Tali hui machli aur chips),100g,100,651.75,3.36,69.69,2.77,0.29,0.17,6.56,0.26,4.800065674,47.28449924,125.0673071,72.73,22.16,380.0428498,6.659509797,2.38007537,31.65
SL0324,Tomato fish,100g,100,489.79,2.39,51.91,3.18,0.72,1.35,6.46,0.24,0.338214027,5.5,303.7700567,91.47,75.09,197.1100797,9.9,1.408427006,76.88
SL0325,Baked fish with cheese sauce,100g,100,113.96,8.64,7.02,4.06,0.08,3.22,115.64,0.26,3.399975037,29.08355763,200.8666106,209.48,9.97,572.3934341,2.703366152,3.143875024,29.36
SL0326,Fish tikka,100g,100,117.33,16.0,4.15,3.91,1.18,1.18,31.98,1.41,4.497276018,23.69553399,367.559231,503.44,0.9,401.1091071,3.900404657,1.919283757,4.62
SL0327,Tandoori fish,100g,100,95.98,11.19,4.64,2.37,0.58,1.6,37.27,0.46,1.15057782,134.5772091,292.9090831,123.94,19.66,163.0279162,2.887478783,2.637832002,27.55
SL0328,"Paneer, apple and pineapple salad",100g,100,95.08,3.88,5.07,8.35,1.65,6.36,103.05,0.84,0.699621901,93.18017693,564.7029326,176.63,25.3,372.3245736,6.437428101,0.168719635,67.13
SL0329,Russian salad,100g,100,114.83,4.26,7.84,6.5,2.57,1.66,34.92,1.23,3.261584224,35.10756345,315.0009064,101.09,49.56,421.5166237,6.204559934,2.339874889,104.32
SL0330,Pasta salad,100g,100,190.36,4.15,13.92,12.7,0.96,2.6,66.74,0.81,3.031217276,68.26937335,200.5800859,152.31,38.78,232.9592452,5.114426006,3.002430983,56.54
SL0331,Deviled egg,100g,100,98.56,4.97,7.72,2.23,1.15,0.82,36.84,1.51,0.87545521,52.70412059,359.7144175,117.29,18.42,335.4389507,8.721564012,2.198378723,48.39
SL0332,Hawain salad,100g,100,175.23,4.27,11.37,14.35,3.93,5.24,61.03,1.12,2.650226314,79.64539304,258.0030634,64.92,51.75,0.0,0.0,2.073655889,123.62
SL0333,Mixed pulse and vegetable salad,100g,100,83.12,4.74,0.84,13.96,2.96,1.36,51.63,2.13,3.791601922,71.73758719,430.4684749,127.78,23.82,252.4341584,2.683051085,0.485090837,105.59
SL0334,Sprouted moong salad,100g,100,37.81,2.29,0.74,5.48,0.95,2.13,54.56,1.45,2.246445648,75.1748659,178.6415913,116.38,27.84,318.5423707,2.896328043,2.666254044,49.76
SL0335,Tossed salad,100g,100,62.96,1.02,4.22,4.95,2.15,1.56,32.37,0.86,0.984026972,5.5,140.1119196,77.5,85.7,482.4290555,5.974903741,1.833224049,99.67
SL0336,Mixed vegetable salad with curd sauce,100g,100,60.28,4.23,1.5,7.03,3.79,2.16,65.51,1.35,3.197781766,32.53081296,362.5147068,116.66,37.73,686.6904136,3.514329485,0.0,86.34
SL0337,Potato salad (Aloo ka salaad),100g,100,89.91,1.4,4.4,11.19,1.32,3.94,25.61,0.99,2.456887903,72.09861909,463.0641629,125.01,58.78,160.5895883,7.180987877,1.311947519,52.72
SL0338,Waldroff salad,100g,100,141.75,1.47,10.05,11.02,1.87,8.23,29.29,1.07,3.349662005,117.0860774,471.0567464,13.42,21.43,0.0,0.544868618,2.034315699,40.62
SL0339,Coleslaw,100g,100,76.71,1.24,5.32,5.59,2.34,3.62,37.0,0.63,1.160275195,127.5911006,396.694728,29.87,22.99,283.4110944,3.336417148,1.403036716,41.98
SL0340,Fruit salad (Phalon ka salaad),100g,100,78.14,0.91,1.22,15.96,1.58,9.78,25.93,0.81,1.56859242,54.78394132,497.8274931,7.11,52.45,740.8537659,4.540694641,0.0,45.4
SL0341,Tomato onion raita (Tamatar aur pyaaz ka raita),100g,100,59.0,3.74,1.84,7.08,0.97,5.98,120.62,0.26,3.858902431,58.77339225,72.11944347,165.21,15.04,427.8007916,2.68295003,2.481814416,34.77
SL0342,Peanut raita (Mungfali ka raita),100g,100,150.39,8.59,8.98,9.3,1.89,7.11,174.6,0.74,1.890849523,37.33537743,138.8183829,235.83,2.59,428.8248093,2.661039229,3.66446301,36.67
SL0343,Sprouted moong raita,100g,100,60.89,4.62,2.19,6.13,0.16,5.59,139.44,0.86,2.921179121,90.96924086,583.1911358,189.2,3.59,306.1101953,3.959394321,1.1348258,27.0
SL0344,Bottle gourd raita (Ghiya/Lauki ka raita),100g,100,56.31,3.98,2.07,5.76,0.85,5.25,138.26,0.23,3.290823482,80.98435924,364.9167283,188.37,4.76,0.0,4.619589438,1.208461059,39.49
SL0345,Cucumber raita (Kheere ka raita),100g,100,59.13,4.04,2.08,6.35,0.86,5.22,138.58,0.29,3.12021797,5.5,353.4837402,189.96,5.65,171.1404376,1.39152051,1.709470206,26.92
SL0346,Carrot and spinach raita (Gajar aur palak ka raita),100g,100,56.83,4.0,1.99,5.83,1.39,4.93,142.57,1.04,1.852945093,68.73492336,327.8933561,180.79,19.29,219.9671191,3.794175231,1.276042166,95.51
SL0347,Mint raita (Pudinay ka raita),100g,100,77.59,5.64,2.96,7.65,0.34,7.48,198.22,0.37,4.236453432,120.0944238,305.7481239,274.38,2.94,696.0108433,3.676218496,0.0,20.62
SL0348,Potato raita (Aloo ka raita),100g,100,75.38,4.22,2.04,10.24,0.75,5.08,132.31,0.34,3.295544484,74.63081068,215.7999754,183.37,15.33,111.5855002,4.440954109,2.199925952,27.03
SL0349,Boondi raita,100g,100,687.72,2.19,73.83,3.96,0.46,1.88,49.0,0.24,3.310362646,105.901344,286.8904114,99.18,0.77,178.3339101,4.381919572,1.735120279,37.83
SL0350,Sweet raita (Meetha raita),100g,100,99.24,3.24,1.78,17.93,1.02,15.36,108.91,0.21,1.457568553,138.0443379,540.3872537,42.98,5.2,556.3692311,4.575701494,1.419744085,24.9
SL0351,Dahi vadas/Dahi bhalla,100g,100,667.73,2.96,70.4,5.49,0.97,1.78,49.03,0.49,4.277415724,17.52040726,589.8,79.0,0.57,476.2365343,0.0,0.752503461,18.3
SL0352,Gunjia,100g,100,667.34,2.98,70.28,5.68,1.13,2.05,48.16,0.5,1.172368434,5.5,570.261786,77.9,0.51,755.4431931,8.470438074,0.597211582,19.06
SL0353,Saunth/Sonth chutney with tamarind/imli,100g,100,141.53,1.01,0.15,33.55,0.93,31.31,54.74,2.71,2.399735246,109.0491231,323.7692521,244.38,0.09,0.0,9.9,1.308899863,0.99
SL0354,Rice kheer (Chawal ki kheer),100g,100,75.03,2.3,2.97,10.05,0.17,8.02,75.57,0.17,0.739660878,139.5134879,388.7345511,16.24,5.06,847.9217633,6.491157653,1.686714311,19.54
SL0355,Makhana kheer,100g,100,107.85,3.31,5.0,12.88,0.11,11.54,111.64,0.28,3.139247812,55.60991253,234.8441695,23.4,5.06,784.5415492,1.466417612,0.0,23.77
SL0356,Vermicelli kheer (Semiya/Seviyan ki kheer),100g,100,120.07,3.35,5.0,15.87,0.5,12.79,104.8,0.3,2.263800408,21.71062404,531.2697888,22.52,4.06,308.3382008,5.484634303,3.468070101,16.29
SL0357,Semolina kheer (Suji/Rava kheer),100g,100,113.21,3.43,4.2,15.88,0.51,12.88,105.99,0.34,0.1,30.32882549,381.6341932,22.66,4.06,192.8341922,6.770172665,3.655301001,17.54
SL0358,Paneer kheer,100g,100,105.31,4.53,5.37,10.03,0.07,9.87,144.66,0.26,4.9,13.21352398,409.8778511,23.81,5.06,895.7,3.188994723,3.216280891,41.81
SL0359,Cabbage kheer (Pattagobhi ki kheer),100g,100,83.51,2.87,3.8,9.73,0.51,9.28,102.74,0.24,2.573882705,111.1334772,218.7254281,22.67,17.36,741.06473,5.130954852,1.620436583,33.51
SL0360,Carrot kheer (Gajar ki kheer),100g,100,85.35,2.81,3.85,10.09,0.73,9.63,100.12,0.28,0.850885874,66.07387211,56.1826352,28.54,6.54,764.6197727,6.39992839,0.0,24.59
SL0361,Cauliflower kheer (Phoolgobhi ki kheer),100g,100,81.95,3.04,3.95,8.78,0.55,8.49,101.75,0.3,1.500829827,51.22534579,409.91073,25.19,23.92,623.1547988,6.654729559,0.410602931,36.87
SL0362,Moong dal kheer,100g,100,77.16,2.95,2.97,9.89,0.4,7.92,75.66,0.28,1.433297848,141.95746,213.4420716,16.34,5.06,603.7925101,0.164369099,3.776877471,32.3
SL0363,Phirni,100g,100,116.12,3.49,4.34,16.11,0.36,10.79,104.57,0.23,2.945947624,56.60453234,372.7255905,22.47,5.04,479.3748279,1.220885179,4.789568993,20.33
SL0364,Semolina halwa (Suji ka halwa),100g,100,225.65,2.16,13.38,24.67,1.86,13.98,11.77,0.65,1.078366411,124.418161,202.5067449,1.28,0.05,12.66493474,3.667469285,2.275695075,7.96
SL0365,Shahi suji halwa,100g,100,382.34,3.48,21.73,44.44,2.96,27.21,18.64,0.98,3.222552615,40.62248169,255.6499478,2.18,0.02,289.1203807,7.839204646,4.8,7.46
SL0366,Carrot halwa (Gajar ka halwa),100g,100,172.64,3.11,9.73,18.53,2.65,16.85,106.94,0.76,1.402507631,36.72762471,184.4106551,39.96,6.53,282.6726186,2.106901829,3.768446059,44.8
SL0367,Egg halwa (Ande ka halwa),100g,100,299.74,7.85,13.41,39.59,0.49,37.85,35.77,1.45,3.865783476,169.4605136,298.2215444,83.04,0.0,541.6629486,7.997634096,0.842970264,24.67
SL0368,Potato halwa (Aloo ka halwa),100g,100,151.66,1.53,3.48,29.18,1.64,17.42,14.15,0.63,2.917510254,107.1045229,270.6076169,4.23,28.98,146.1575274,5.787226576,0.847584511,20.72
SL0369,Pumpkin halwa (Kaddu ka halwa),100g,100,190.27,1.33,8.81,27.6,2.97,26.64,24.34,0.63,4.829960476,54.79383542,396.1837454,8.09,8.08,341.435263,4.600110625,2.808421177,27.9
SL0370,Moong dal halwa,100g,100,349.8,8.35,17.68,40.23,2.65,25.59,110.4,1.51,2.453035688,59.4052237,432.7547406,11.19,0.03,757.6929547,7.579819343,0.0,34.53
SL0371,Caramel custard (steamed),100g,100,121.58,4.97,4.87,15.02,0.0,14.98,88.12,0.51,3.577591939,77.48152303,338.7522654,43.57,3.02,62.56308147,2.909023364,3.402214222,35.21
SL0372,Baked custard,100g,100,106.53,5.41,5.3,9.45,0.0,9.42,95.32,0.54,4.36186229,95.90793964,225.5294161,47.13,3.02,0.0,8.604647836,1.065458064,35.21
SL0373,Soft Custard (stirred),100g,100,109.18,5.01,5.07,11.19,0.0,11.15,95.82,0.49,1.706822879,42.70599606,131.9151617,122.17,3.62,361.3737135,3.079786366,3.494203162,37.31
SL0374,Chocolate ice cream,100g,100,177.7,4.47,11.25,15.41,0.0,15.33,84.24,0.47,2.861310675,94.88404122,541.0330163,36.79,4.06,662.0495919,2.527009802,2.294704756,43.75
SL0375,Mango ice cream,100g,100,125.69,3.4,7.62,11.14,0.52,11.01,67.17,0.39,2.072451976,52.3780213,234.4998759,29.13,44.98,108.6886171,5.346876916,3.823314648,142.26
SL0376,Fruit Ice cream (Phalon ka Ice cream),100g,100,171.46,4.37,10.38,16.05,0.33,14.03,93.35,0.36,2.699297739,176.2290782,118.1570012,38.78,4.02,649.7340323,4.317425687,2.275422604,15.6
SL0377,Caramel ice cream,100g,100,173.52,4.31,11.15,14.81,0.08,14.52,87.32,0.35,0.167694161,73.04640569,338.9678171,33.47,3.27,120.6265932,7.653303169,2.09244739,25.96
SL0378,Lemon souffle,100g,100,168.51,6.95,10.02,13.43,0.0,11.67,59.81,0.56,1.515282725,5.5,207.5341927,50.73,12.9,714.6876916,6.517914525,2.095190187,32.11
SL0379,Orange souffle,100g,100,168.28,6.8,9.73,14.2,0.22,12.31,59.04,0.65,2.726935446,46.16645637,174.4424163,49.22,19.16,234.6096373,3.814595623,2.468750213,37.93
SL0380,Vanilla souffle,100g,100,187.85,7.71,11.19,14.78,0.0,12.86,70.6,0.58,2.296906372,114.2820688,589.8,56.73,1.3,670.2871157,4.774047924,2.189761568,30.71
SL0381,Chocolate souffle,100g,100,189.32,7.88,11.36,14.74,0.0,12.69,71.55,0.71,3.900983677,71.93333839,399.2236209,56.07,1.3,220.9198699,1.345147439,3.201206504,31.85
SL0382,Pineapple souffle,100g,100,196.14,8.06,11.72,15.52,0.0,13.45,67.23,0.61,3.41673153,41.34940079,475.0753548,59.17,1.0,0.718553591,3.476795735,0.0,29.66
SL0383,Apple mousse,100g,100,106.92,4.21,4.27,12.77,1.6,10.56,33.76,0.48,2.152681086,110.5439449,126.6125723,28.79,14.48,86.51510562,7.01673745,2.358886536,35.22
SL0384,Rich chocolate mousse,100g,100,188.26,7.96,12.19,10.84,0.0,10.3,54.59,0.97,0.158511634,33.98152936,317.5582927,51.71,0.7,200.3729337,3.379388107,1.633908036,31.64
SL0385,Mango mousse,100g,100,124.98,3.21,8.47,9.14,0.88,8.89,51.38,0.35,4.476503113,74.11414405,174.4847176,19.62,42.76,667.8565824,6.936012503,2.260170415,110.68
SL0386,Orange and pineapple cream,100g,100,101.18,1.44,5.43,11.96,1.03,11.37,35.0,0.41,1.00514124,72.47517271,500.8394171,10.17,19.89,126.8146333,7.332159041,2.331185794,10.56
SL0387,Charlotte rousse,100g,100,188.29,3.95,4.78,34.08,1.01,20.48,34.95,0.53,1.29451768,116.0184209,310.087486,56.45,25.28,502.598151,6.806790675,2.842509501,28.72
SL0388,Triffle pudding,100g,100,116.97,2.93,3.93,18.24,0.12,13.89,48.72,0.47,0.662739044,89.06214033,76.65182182,26.95,19.31,0.0,0.173574835,0.954525044,28.71
SL0389,Snow flakes pudding,100g,100,95.21,4.67,4.97,8.07,0.03,8.01,101.33,0.42,2.360942026,35.14398297,323.5490212,39.6,5.47,299.0536275,2.795994334,2.168201143,42.48
SL0390,Kulfi,100g,100,98.43,3.21,4.7,11.3,0.12,10.39,111.86,0.2,0.881934957,34.00293615,23.0,23.97,5.04,348.9572537,1.92722667,1.960626197,18.69
SL0391,Steamed orange pudding,100g,100,278.03,2.34,12.04,41.53,0.58,26.53,21.15,0.55,1.30212827,117.906854,438.2254227,79.1,21.74,724.855896,1.207876836,3.129489214,15.92
SL0392,Meringue and rice pudding,100g,100,112.93,4.84,4.05,14.6,0.17,10.87,85.43,0.37,1.687678468,98.67813512,589.8,44.16,3.02,605.6861511,1.227529681,2.50135463,24.69
SL0393,Cheese pudding,100g,100,285.01,11.29,18.37,19.27,0.05,18.63,226.11,0.87,2.372068627,72.54429579,54.98587826,37.83,0.3,385.727122,8.540004728,0.0,60.43
SL0394,Chocolate pudding,100g,100,211.96,3.55,9.48,29.59,0.53,20.68,64.56,0.6,0.94678552,108.6058995,285.4173628,171.36,0.75,0.0,3.931882286,2.101377535,18.08
SL0395,Bread and butter pudding,100g,100,167.94,5.59,7.88,19.63,0.98,11.84,105.54,0.9,2.407802321,56.50979807,491.0584912,96.3,1.58,0.0,9.620690229,0.955991041,21.41
SL0396,Queen of pudding,100g,100,132.92,5.51,5.38,16.35,0.27,11.77,78.26,0.53,3.818504488,60.31236234,295.2030991,85.59,8.11,199.4702591,6.188153027,1.038705839,46.64
SL0397,Pineapple upside down pudding,100g,100,257.73,3.15,11.91,35.73,0.8,22.16,26.05,0.68,2.821954322,65.19585192,271.4452713,74.52,9.66,664.8847606,4.848653519,0.0,15.44
SL0398,Date and nut pie,100g,100,322.42,3.93,13.31,46.86,4.13,31.18,34.69,1.54,0.1,140.3014009,132.1699056,3.87,6.39,796.7713418,6.937472579,3.003108766,32.22
SL0399,Stewed apple with custard,100g,100,92.87,1.27,1.82,18.36,1.01,15.46,49.24,0.18,2.397891947,95.32134897,293.2731884,16.66,5.6,583.9043774,3.786778042,2.085119382,10.2
SL0400,Apple snowballs,100g,100,101.51,0.86,0.31,24.58,1.25,19.4,9.43,0.18,1.670981375,124.9598925,23.0,12.8,4.46,602.8848411,2.354748104,0.435775713,4.64
SL0401,Hot orange souffle,100g,100,179.97,6.87,8.95,18.77,0.29,14.93,53.81,1.03,4.9,97.18973785,244.9843928,58.8,7.01,659.8950165,3.341850799,0.678664062,30.66
SL0402,Hot chocolate souffle,100g,100,226.09,6.7,11.1,26.21,0.12,22.88,60.19,1.08,2.172703359,49.90166666,506.8901289,54.11,0.9,243.5542128,5.972218736,1.934955973,30.6
SL0403,Hot vanilla souffle,100g,100,192.93,6.87,9.07,21.77,0.13,18.17,63.2,0.93,1.612697965,122.8010444,152.8129244,59.59,0.9,524.7977472,0.0,1.09331991,28.8
SL0404,Plain burfi (Burfi),100g,100,408.32,9.82,27.96,30.88,0.17,30.43,355.78,1.5,2.906891515,138.1271484,209.5337833,31.65,0.05,615.7200779,7.047017711,1.561705524,23.94
SL0405,Coconut burfi (Nariyal ki burfi),100g,100,467.64,8.81,34.63,32.15,3.5,31.5,272.81,1.82,3.496826709,182.2308281,385.3056355,27.63,0.0,460.8083947,4.31092117,3.386563109,26.6
SL0406,Bottle gourd burfi (Ghiya/Lauki burfi),100g,100,275.96,5.86,17.68,24.51,0.73,23.92,215.85,0.93,2.237733696,45.22736306,129.0808912,18.15,1.08,459.5949218,0.971435328,0.036743767,34.06
SL0407,Chocolate burfi,100g,100,339.33,13.0,17.86,33.15,0.0,32.38,466.48,2.12,2.71346339,7.519541104,331.8145581,39.32,0.0,350.9947981,8.794926733,0.0,23.85
SL0408,Cashewnut burfi (Kaju burfi/Kaju katli),100g,100,421.74,5.48,28.46,37.92,1.12,31.43,12.95,1.79,0.385375512,127.9724124,23.0,4.23,0.0,425.8111854,5.710959951,1.621637633,2.1
SL0409,Gram flour burfi (Besan burfi),100g,100,421.79,11.19,22.41,46.59,3.41,28.44,160.71,1.47,2.342457094,5.5,524.6957924,13.02,0.0,436.4903861,6.269485725,3.245282078,32.38
SL0410,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),100g,100,428.71,6.71,21.86,52.86,4.68,33.28,106.42,1.73,1.816311501,5.5,203.1105246,14.4,0.03,424.7504433,1.647985495,0.474606561,7.1
SL0411,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),100g,100,464.43,5.68,27.03,50.9,6.69,27.32,26.72,1.83,3.937436722,144.0971523,372.2199257,9.06,0.05,0.0,6.352315553,2.813602862,5.21
SL0412,Gram flour ladoo (Besan ladoo),100g,100,476.91,8.93,22.76,62.61,4.43,37.76,25.35,1.51,1.893850012,84.376345,468.4436098,5.48,0.0,108.2423279,7.325580981,1.992630866,24.79
SL0413,Sesame ladoo (Til ke ladoo),100g,100,396.96,10.7,19.64,43.5,7.72,38.63,631.82,8.94,1.48452649,106.3433719,35.50961481,18.55,0.0,575.2584426,9.9,1.254921778,18.17
SL0414,Chenna murki,100g,100,252.69,10.46,8.2,36.01,0.0,35.55,266.85,0.55,3.087845188,122.2416639,111.3546631,11.4,0.0,0.0,4.749920885,2.124813367,46.65
SL0415,Milk cake,100g,100,127.41,3.01,8.93,9.13,0.06,8.9,104.94,0.2,2.915515515,118.0106342,285.5516455,24.97,8.0,312.3128864,0.0,1.751895413,18.19
SL0416,Ghujia/Lavang latika,100g,100,768.98,1.86,78.93,13.0,0.52,6.08,31.01,0.44,2.266946308,63.07720768,474.8646858,3.28,0.01,502.3051686,2.223029024,1.10018927,6.86
SL0417,Gulab Jamun with khoya,100g,100,586.06,2.03,53.23,26.09,0.07,24.12,67.32,0.39,4.9,145.0086738,589.8,15.09,0.02,617.1531184,3.442902854,0.0,16.44
SL0418,Mal pua,100g,100,566.68,1.71,54.64,17.56,0.62,11.77,30.05,0.33,2.37795372,20.92185551,302.1358806,6.35,0.67,479.9155381,0.145742447,3.971244835,5.3
SL0419,Shahi tukre,100g,100,189.81,2.76,2.54,41.46,0.51,34.7,76.47,0.37,1.955611461,84.51752053,328.9166169,71.04,0.86,542.7488913,2.74689584,2.537076604,7.61
SL0420,Potato pakora/pakoda (Aloo pakoda),100g,100,677.19,1.9,71.84,6.04,1.03,0.22,6.59,0.38,1.691058345,11.27309919,398.8984996,63.38,18.53,436.4123541,4.062723249,3.081182878,109.12
SL0421,Onion pakora/pakoda (Pyaaz ke pakode),100g,100,674.61,1.9,71.84,5.41,1.11,0.88,7.95,0.36,2.141362003,75.80826875,198.4188104,63.55,5.36,445.0106306,3.166384757,4.119473316,119.81
SL0422,Cauliflower pakora/pakoda (Phoolgobhi ke pakode),100g,100,671.63,1.98,71.86,4.52,1.26,0.23,8.44,0.42,2.982224844,56.39410191,290.5963166,66.54,37.72,659.9451705,9.203556839,2.240675912,133.47
SL0423,Mixed vegetable pakora/pakoda,100g,100,673.81,1.94,71.86,5.12,1.13,0.38,9.55,0.46,2.424313409,143.597768,433.9664734,65.35,21.46,461.9546781,3.497429454,4.01341925,143.18
SL0424,Spinach pakora/pakoda (Palak pakoda),100g,100,712.62,1.96,76.38,4.68,1.02,0.2,10.99,0.52,2.63059685,127.7653754,69.92365289,69.54,12.12,556.3307076,6.234689873,1.606105214,153.51
SL0425,Methi pakora/pakoda (Methi ke pakode),100g,100,713.25,2.06,76.39,4.68,1.18,0.25,23.07,0.69,2.102496194,44.45451959,390.5978787,69.83,23.31,469.9231046,5.527465961,1.388514147,126.81
SL0426,Egg pakora/pakoda (Ande ke pakode),100g,100,710.51,2.83,75.86,4.48,0.86,0.19,9.55,0.47,2.008722525,48.78010106,518.1750502,75.37,0.01,215.6375359,6.050761776,4.8,121.37
SL0427,Bread pakora/pakoda,100g,100,710.99,2.57,74.2,8.87,1.11,0.46,19.83,0.46,2.756252358,82.76321371,130.8927262,101.49,0.01,299.0133376,3.161762017,1.730789776,114.11
SL0428,Paneer pakora/pakoda,100g,100,718.12,3.27,76.05,5.52,0.89,1.08,43.38,0.43,2.305591841,139.5714668,141.8560413,131.7,0.07,634.257142,0.0,2.587182266,143.43
SL0429,Potato bonda (Aloo bonda),100g,100,632.84,1.09,67.8,4.53,0.83,0.27,6.79,0.37,3.011411482,23.98685349,506.1623166,132.53,8.96,416.3424927,8.823539501,4.553915766,16.02
SL0430,Potato samosa (Aloo ka samosa),100g,100,577.39,1.71,59.19,9.21,1.19,0.29,7.63,0.5,1.691074012,26.20090723,516.0525079,77.1,11.27,392.6073694,5.03473248,1.048724976,12.8
SL0431,Minced meat samosa (Keema ka samosa),100g,100,620.99,4.43,64.26,6.14,0.39,0.5,6.7,0.55,0.226096782,5.5,37.60222145,88.64,0.82,723.0713902,3.828239161,3.228461335,4.62
SL0432,Paneer and pea samosa (Paneer matar ka samosa),100g,100,623.81,4.02,63.65,8.55,1.02,1.69,64.56,0.53,1.483320303,99.92540331,439.966705,78.18,6.67,575.5892368,6.628905003,1.290942777,26.39
SL0433,Mathri,100g,100,805.12,1.75,83.1,12.32,0.6,0.29,5.23,0.43,1.528972223,91.42011226,445.3377085,64.7,0.0,593.2225038,3.76975873,2.679739709,2.38
